feature,step,kept,importance
f_top_to_share,kept,1,0.43340284
f_m2_p50,kept,1,0.2059951
f_dt_std,kept,1,0.05981358
f_failed_ratio,kept,1,0.055227336
f_dt_iqr,kept,1,0.025751546
f_dt_p50,kept,1,0.02187465
f_method_nunique,kept,1,0.021686982
f_dt_min,kept,1,0.015206947
f_repeat_pair_ratio,kept,1,0.009542667
f_dt_p05,kept,1,0.005876364
f_frac_2to10s,kept,1,0.005251563
f_m2_n,kept,1,0.0040504783
f_consec_block_ratio,kept,1,0.003911124
f_peak_hour_share,kept,1,0.0037670638
f_dt_p25,kept,1,0.0034885567
f_frac_lt2s,kept,1,0.0034522535
f_night_ratio,kept,1,0.0032359827
f_memory_coef,kept,1,0.003040098
f_m2_p05,kept,1,0.0028023843
f_dt_cv,kept,1,0.002070064
f_frac_gt10s,kept,1,0.0011580286
f_to_entropy,corr_dedup,0,0.045566376
f_dt_mean,corr_dedup,0,0.01639811
f_top_method_share,corr_dedup,0,0.012613158
f_method_entropy,corr_dedup,0,0.0108333025
f_dt_p75,corr_dedup,0,0.0063474313
f_dt_p01,corr_dedup,0,0.005677983
f_log_dt_median,corr_dedup,0,0.004369248
f_dt_p10,corr_dedup,0,0.0034151059
f_unique_to_ratio,corr_dedup,0,0.002852635
f_burstiness,corr_dedup,0,0.0013209578
f_same_block_ratio,corr_dedup,0,0.0
