feature,step,kept,importance
f_top_to_share,kept,1,0.44249818
f_m2_p50,kept,1,0.23038709
f_failed_ratio,kept,1,0.054346684
f_dt_std,kept,1,0.04177821
f_dt_mean,kept,1,0.02823662
f_top_method_share,kept,1,0.016901921
f_dt_p25,kept,1,0.016788624
f_dt_min,kept,1,0.016746577
f_repeat_pair_ratio,kept,1,0.010850753
f_log_dt_median,kept,1,0.0087089855
f_dt_p75,kept,1,0.006647184
f_dt_p01,kept,1,0.006328314
f_frac_2to10s,kept,1,0.006297924
f_dt_iqr,kept,1,0.005081703
f_frac_lt2s,kept,1,0.004674682
f_m2_n,kept,1,0.004547524
f_peak_hour_share,kept,1,0.0038182463
f_dt_p10,kept,1,0.0033844982
f_night_ratio,kept,1,0.0032965662
f_consec_block_ratio,kept,1,0.0032677136
f_m2_p05,kept,1,0.0029670338
f_memory_coef,kept,1,0.0024885912
f_dt_cv,kept,1,0.0018395195
f_frac_gt10s,kept,1,0.0013692152
f_to_entropy,corr_dedup,0,0.03482122
f_method_nunique,corr_dedup,0,0.0140277855
f_method_entropy,corr_dedup,0,0.013596694
f_dt_p50,corr_dedup,0,0.0061069615
f_dt_p05,corr_dedup,0,0.0048081772
f_unique_to_ratio,corr_dedup,0,0.0033867382
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
