feature,step,kept,importance
f_nonce_seq_ratio,kept,1,0.3063146770000458
f_top_to_share,kept,1,0.2229718714952469
f_gas_price_p95_p50,kept,1,0.12999416887760162
f_method_nunique,kept,1,0.04652329534292221
f_nonce_span,kept,1,0.04358944669365883
f_m2_p50,kept,1,0.035334512591362
f_nonce_burst_ratio,kept,1,0.030463265255093575
f_dt_mean,kept,1,0.02990325540304184
f_m2_p05,kept,1,0.02559175156056881
f_gas_price_mode_share,kept,1,0.009074458852410316
f_dt_min,kept,1,0.0046784658916294575
f_gas_nunique_ratio,kept,1,0.00354847707785666
f_dt_p10,kept,1,0.0029380088672041893
f_value_zero_ratio,kept,1,0.0029051899909973145
f_value_cv,kept,1,0.0027106045745313168
f_gas_price_median,kept,1,0.0018665281822904944
f_dt_p01,kept,1,0.0015431579668074846
f_m2_n,kept,1,0.0010774879483506083
f_gas_price_cv,kept,1,0.0007338194991461933
f_dt_p25,kept,1,0.000731505046132952
f_unique_to_ratio,kept,1,0.0005781779182143509
f_dt_p75,kept,1,0.0003115762665402144
f_dt_cv,kept,1,0.00028968858532607555
f_failed_ratio,kept,1,0.0002870831231120974
f_round_value_ratio,kept,1,0.0002818578213918954
f_peak_hour_share,kept,1,0.0002681388286873698
f_night_ratio,kept,1,0.00017445041157770902
f_dt_p50,kept,1,0.00011441955575719476
f_memory_coef,kept,1,4.1333059925818816e-05
f_consec_block_ratio,kept,1,3.791392737184651e-05
f_value_nunique_ratio,kept,1,2.3288404918275774e-05
f_value_median_eth,kept,1,1.8529133740230463e-05
f_frac_gt10s,kept,1,9.036076335178223e-06
f_frac_2to10s,kept,1,3.5920670597988646e-06
f_nonce_gap_ratio,corr_dedup,0,0.0730288028717041
f_to_entropy,corr_dedup,0,0.013691764324903488
f_dt_std,corr_dedup,0,0.004187489859759808
f_frac_lt2s,corr_dedup,0,0.0024428630713373423
f_dt_p05,corr_dedup,0,0.0006203379016369581
f_top_method_share,corr_dedup,0,0.0003997360763605684
f_nonce_burst_max,corr_dedup,0,0.00028277860837988555
f_dt_iqr,corr_dedup,0,0.00019900748156942427
f_method_entropy,corr_dedup,0,0.0001394717110088095
f_repeat_pair_ratio,corr_dedup,0,7.20578755135648e-05
f_log_dt_median,corr_dedup,0,2.7043452064390294e-06
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
f_micro_value_ratio,zero_importance,0,0.0
