feature,step,kept,importance
f_m2_p50,kept,1,0.29601336
f_dt_std,kept,1,0.19465718
f_dt_p01,kept,1,0.064969316
f_dt_iqr,kept,1,0.04579542
f_dt_min,kept,1,0.043897767
f_m2_n,kept,1,0.03852638
f_m2_p05,kept,1,0.029781962
f_frac_lt2s,kept,1,0.027832441
f_log_dt_median,kept,1,0.023312483
f_frac_2to10s,kept,1,0.018099511
f_dt_p25,kept,1,0.017970692
f_dt_p10,kept,1,0.016179783
f_dt_cv,kept,1,0.01453302
f_frac_gt10s,kept,1,0.008975192
f_dt_mean,corr_dedup,0,0.069026306
f_dt_p05,corr_dedup,0,0.05376126
f_dt_p50,corr_dedup,0,0.022161156
f_dt_p75,corr_dedup,0,0.014506863
