feature,step,kept,importance
f_nonce_seq_ratio,kept,1,0.4717106819152832
f_nonce_span,kept,1,0.16010837256908417
f_gas_avail_ratio,kept,1,0.13344192504882812
f_active_days,kept,1,0.03260524198412895
f_longest_silence_h,kept,1,0.02187809906899929
f_nonce_burst_ratio,kept,1,0.020153526216745377
f_dt_mean,kept,1,0.014225696213543415
f_span_days,kept,1,0.007134821731597185
f_gas_nunique_ratio,kept,1,0.0057529788464307785
f_method_nunique,kept,1,0.005740005057305098
f_to_entropy,kept,1,0.003534801537171006
f_entropy_dow,kept,1,0.003035440342500806
f_value_median_eth,kept,1,0.0007833826821297407
f_gas_price_mode_share,kept,1,0.0006367926253005862
f_m2_n,kept,1,0.0006232894374988973
f_m2_p50,kept,1,0.0005406049895100296
f_dt_p50,kept,1,0.0005118068656884134
f_dt_min,kept,1,0.00028216035570949316
f_dt_p10,kept,1,0.00027339765802025795
f_kind_entropy,kept,1,0.00021689808636438102
f_dt_p01,kept,1,0.0001550173037685454
f_gas_price_median,kept,1,0.00011749308032449335
f_dt_p75,kept,1,8.446809079032391e-05
f_value_nunique_ratio,kept,1,3.948201265302487e-05
f_peak_hour_share,kept,1,3.875844777212478e-05
f_failed_ratio,kept,1,2.6021391022368334e-05
f_frac_2to10s,kept,1,1.8465194443706423e-05
f_repeat_pair_ratio,kept,1,1.8320193703402765e-05
f_gas_price_cv,kept,1,1.6533616872038692e-05
f_m2_p05,kept,1,9.717853572510649e-06
f_memory_coef,kept,1,4.646344677894376e-06
f_gas_price_p95_p50,kept,1,4.527279543253826e-06
f_nonce_gap_ratio,corr_dedup,0,0.08537200838327408
f_txfrom_ratio,corr_dedup,0,0.030051371082663536
f_frac_lt2s,corr_dedup,0,0.0003721612156368792
f_dt_std,corr_dedup,0,0.0002783111995086074
f_dt_p05,corr_dedup,0,5.039191455580294e-05
f_top_method_share,corr_dedup,0,4.578999869409017e-05
f_entropy_24h,corr_dedup,0,3.282190300524235e-05
f_dt_iqr,corr_dedup,0,2.5586285119061358e-05
f_top_to_share,corr_dedup,0,2.5239820388378575e-05
f_method_entropy,corr_dedup,0,1.301280553889228e-05
f_unique_to_ratio,corr_dedup,0,9.937697541317903e-06
f_log_dt_median,corr_dedup,0,0.0
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
f_nonce_burst_max,corr_dedup,0,0.0
f_dt_p25,zero_importance,0,0.0
f_dt_cv,zero_importance,0,0.0
f_frac_gt10s,zero_importance,0,0.0
f_consec_block_ratio,zero_importance,0,0.0
f_night_ratio,zero_importance,0,0.0
f_active_hours,zero_importance,0,0.0
f_value_zero_ratio,zero_importance,0,0.0
f_round_value_ratio,zero_importance,0,0.0
f_value_cv,zero_importance,0,0.0
f_micro_value_ratio,zero_importance,0,0.0
