feature,step,kept,importance
f_nonce_seq_ratio,kept,1,0.24680256843566895
f_top_to_share,kept,1,0.2362062782049179
f_gas_price_p95_p50,kept,1,0.1335919201374054
f_nonce_span,kept,1,0.06823425740003586
f_active_days,kept,1,0.04254813492298126
f_nonce_burst_ratio,kept,1,0.03820108249783516
f_dt_mean,kept,1,0.026656685397028923
f_longest_silence_h,kept,1,0.01705666072666645
f_method_nunique,kept,1,0.01357569731771946
f_m2_p50,kept,1,0.012625214643776417
f_gas_price_mode_share,kept,1,0.007624659221619368
f_value_cv,kept,1,0.005160434637218714
f_span_days,kept,1,0.003527430584654212
f_entropy_dow,kept,1,0.003060100367292762
f_gas_nunique_ratio,kept,1,0.002605987712740898
f_m2_n,kept,1,0.001964978640899062
f_value_zero_ratio,kept,1,0.0018037969712167978
f_unique_to_ratio,kept,1,0.001597038353793323
f_dt_p10,kept,1,0.0013958143536001444
f_dt_p01,kept,1,0.0012484922772273421
f_gas_price_median,kept,1,0.0011742792557924986
f_gas_price_cv,kept,1,0.0010043142829090357
f_dt_p25,kept,1,0.0006914581754244864
f_value_median_eth,kept,1,0.0006905585178174078
f_dt_min,kept,1,0.0005324276862666011
f_dt_p75,kept,1,0.00031197688076645136
f_entropy_24h,kept,1,0.00029465300031006336
f_night_ratio,kept,1,0.00023213456734083593
f_dt_cv,kept,1,0.00017425439727958292
f_dt_p50,kept,1,0.0001263922604266554
f_failed_ratio,kept,1,9.398911060998216e-05
f_consec_block_ratio,kept,1,3.947966615669429e-05
f_memory_coef,kept,1,3.2626303436700255e-05
f_m2_p05,kept,1,1.861956661741715e-05
f_frac_gt10s,kept,1,1.3369106454774737e-05
f_value_nunique_ratio,kept,1,5.284993221721379e-06
f_frac_2to10s,kept,1,4.435131813806947e-06
f_nonce_gap_ratio,corr_dedup,0,0.10840868949890137
f_to_entropy,corr_dedup,0,0.015282874926924706
f_frac_lt2s,corr_dedup,0,0.0026927688159048557
f_dt_std,corr_dedup,0,0.0009240636136382818
f_repeat_pair_ratio,corr_dedup,0,0.0008538590045645833
f_nonce_burst_max,corr_dedup,0,0.0002651467511896044
f_peak_hour_share,corr_dedup,0,0.00020521963597275317
f_dt_p05,corr_dedup,0,0.00019261972920503467
f_method_entropy,corr_dedup,0,0.00011205639748368412
f_dt_iqr,corr_dedup,0,6.50163710815832e-05
f_top_method_share,corr_dedup,0,5.589333159150556e-05
f_active_hours,corr_dedup,0,1.010396681522252e-05
f_log_dt_median,corr_dedup,0,4.21854383603204e-06
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
f_round_value_ratio,zero_importance,0,0.0
f_micro_value_ratio,zero_importance,0,0.0
