feature,step,kept,importance
f_nonce_seq_ratio,kept,1,0.5684385299682617
f_nonce_span,kept,1,0.14543402194976807
f_gas_avail_ratio,kept,1,0.11179608106613159
f_micro_value_ratio,kept,1,0.028047284111380577
f_method_nunique,kept,1,0.020029272884130478
f_nonce_burst_ratio,kept,1,0.016698632389307022
f_dt_mean,kept,1,0.014707999303936958
f_gas_nunique_ratio,kept,1,0.004720150493085384
f_gas_price_mode_share,kept,1,0.0005576967960223556
f_m2_n,kept,1,0.0005445490241982043
f_dt_min,kept,1,0.0005060446565039456
f_dt_p75,kept,1,0.00048135872930288315
f_dt_p50,kept,1,0.00038318391307257116
f_m2_p50,kept,1,0.00031300433329306543
f_dt_p10,kept,1,0.0002353194577153772
f_dt_p01,kept,1,0.00022184629051480442
f_gas_price_median,kept,1,0.00011400083167245612
f_to_entropy,kept,1,0.0001108994401874952
f_unique_to_ratio,kept,1,0.00010974711767630652
f_peak_hour_share,kept,1,9.178081381833181e-05
f_kind_entropy,kept,1,6.401247810572386e-05
f_night_ratio,kept,1,6.341641710605472e-05
f_m2_p05,kept,1,6.188933184603229e-05
f_memory_coef,kept,1,3.539652971085161e-05
f_round_value_ratio,kept,1,3.1224892154568806e-05
f_dt_p25,kept,1,2.1306967028067447e-05
f_gas_price_cv,kept,1,9.661116564529948e-06
f_failed_ratio,kept,1,5.495738605532097e-06
f_gas_price_p95_p50,kept,1,2.214368777231357e-07
f_nonce_gap_ratio,corr_dedup,0,0.057180456817150116
f_txfrom_ratio,corr_dedup,0,0.0163220576941967
f_dt_std,corr_dedup,0,0.012075372040271759
f_frac_lt2s,corr_dedup,0,0.00046072411350905895
f_dt_p05,corr_dedup,0,3.855875911540352e-05
f_dt_iqr,corr_dedup,0,3.520931932143867e-05
f_repeat_pair_ratio,corr_dedup,0,2.327429137949366e-05
f_top_to_share,corr_dedup,0,1.2629534467123449e-05
f_top_method_share,corr_dedup,0,1.1957313290622551e-05
f_method_entropy,corr_dedup,0,5.6028534345387015e-06
f_log_dt_median,corr_dedup,0,0.0
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
f_nonce_burst_max,corr_dedup,0,0.0
f_dt_cv,zero_importance,0,0.0
f_frac_2to10s,zero_importance,0,0.0
f_frac_gt10s,zero_importance,0,0.0
f_consec_block_ratio,zero_importance,0,0.0
f_value_zero_ratio,zero_importance,0,0.0
f_value_median_eth,zero_importance,0,0.0
f_value_cv,zero_importance,0,0.0
f_value_nunique_ratio,zero_importance,0,0.0
