feature,step,kept,importance
f_m2_p50,kept,1,0.24769258
f_dt_std,kept,1,0.17546463
f_dt_p01,kept,1,0.07112688
f_peak_hour_share,kept,1,0.056918535
f_dt_min,kept,1,0.04385425
f_dt_iqr,kept,1,0.04020778
f_m2_n,kept,1,0.03463697
f_m2_p05,kept,1,0.029913925
f_log_dt_median,kept,1,0.02569577
f_frac_lt2s,kept,1,0.022417676
f_consec_block_ratio,kept,1,0.018137336
f_memory_coef,kept,1,0.017120402
f_dt_cv,kept,1,0.015535068
f_dt_p10,kept,1,0.015067079
f_dt_p25,kept,1,0.014397509
f_night_ratio,kept,1,0.013645769
f_frac_2to10s,kept,1,0.011847155
f_frac_gt10s,kept,1,0.007335
f_dt_mean,corr_dedup,0,0.060521584
f_dt_p05,corr_dedup,0,0.043678965
f_dt_p50,corr_dedup,0,0.023104547
f_dt_p75,corr_dedup,0,0.01168054
f_burstiness,corr_dedup,0,0.0
f_same_block_ratio,corr_dedup,0,0.0
