# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0x90ec58ef4cc9f37b96de1e203b65bd4e6e79580e,base_cex_withdrawal,wd=11400,11400
0x31cca7bbe2446fd2bdbd7aac3d7187d4c77379ab,base_cex_withdrawal,wd=10543,10543
0xd5283cabd64fd553f58da2cc64ec9ab5224c14a1,base_cex_withdrawal,wd=10393,10393
0xa8ca178b4234207aa3748eb04233dbe7b84be128,base_cex_withdrawal,wd=9985,9985
0x4c3f2e391498e2590bd327a7a1caa68dd42c4647,base_cex_withdrawal,wd=8483,8483
0x7f3d3f7495e033d8cd17bdeb08b70102572db7a6,base_cex_withdrawal,wd=8482,8482
0x30b55ad2c462d4a10aa06a816901b043d5ef6aa4,base_cex_withdrawal,wd=5595,5595
0x6e276e0e6a62ac0c07a4c4fe13b9660617c0e08e,base_cex_withdrawal,wd=4738,4738
0x532f27101965dd16442e59d40670faf5ebb142e4,base_cex_withdrawal,wd=3825,3825
0xbe139dd142823119dff7222f3da22eb923aeb875,base_cex_withdrawal,wd=2434,2434
0x3b38dcd1c442193eff2f4ef7f87a2b969821ac28,base_cex_withdrawal,wd=2397,2397
0xec7cd9678face80a494026b5bc6fd671dab45f0d,base_cex_withdrawal,wd=2178,2178
0xd17f9bfb35cbff1d8eceeba15863754dd2ea5f9f,base_cex_withdrawal,wd=1943,1943
0x0ba5ed0c6aa8c49038f819e587e2633c4a9f428a,base_cex_withdrawal,wd=1844,1844
0xdcd358530dd9c0bc9ec300059615dac5030f4228,base_cex_withdrawal,wd=1660,1660
0x2626664c2603336e57b271c5c0b26f421741e481,base_cex_withdrawal,wd=1533,1533
0x5cf4517dc90d7e68cae8ce2c1445f224be82af4c,base_cex_withdrawal,wd=1532,1532
0x6d8675a52438849d90241cb639fba41bdc3329c8,base_cex_withdrawal,wd=1379,1379
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,base_cex_withdrawal,wd=1374,1374
0x52ce3a60b53ea6a5dcb0f5611bacf7b1f40c33d2,base_cex_withdrawal,wd=1346,1346
0x86485b8eed03bd710bf243982392dc61f3257785,base_cex_withdrawal,wd=1251,1251
0x22b51ee43ccab63ec03c50794a841c9189d94ed2,base_cex_withdrawal,wd=1249,1249
0xd0a99ad9d4fd9d3d2b850c1f42ffd54d1803c61d,base_cex_withdrawal,wd=1245,1245
0x7041c0c33cbfb66a62fef458f5cb40abc2290305,base_cex_withdrawal,wd=1232,1232
0x71d9f70284c687335bcb2b9eba9453a28742d7bb,base_cex_withdrawal,wd=1225,1225
0xc7bd65f08e6dd536535450d263309e3360fc8ffb,base_cex_withdrawal,wd=1184,1184
0x128b1240168fcb68bd2d98d718e559337722c93a,base_cex_withdrawal,wd=1181,1181
0xf37349a8219c3c37f26422f86922efff267503fd,base_cex_withdrawal,wd=1153,1153
0xa70197d1039a857fb9a6d02da9bde2f2f5c0c583,base_cex_withdrawal,wd=1141,1141
0xe8b7cd96b0fddb371085be2ad38c377e5e224dc6,base_cex_withdrawal,wd=1049,1049
0xbc00a6c3e0ba0e16365f9b35c63a6e68f6c28c42,base_cex_withdrawal,wd=1041,1041
0x335bc68d20f45d306c581eb702717f40097a6d68,base_cex_withdrawal,wd=1027,1027
0x03ca103b3677013a75f00c321a868207662959c4,base_cex_withdrawal,wd=889,889
0xc5b72164ae576afb96f5c9dcb558e6a4606c32b5,base_cex_withdrawal,wd=876,876
0x6bcfac402697587c0f31a9ad94e11a56d1680381,base_cex_withdrawal,wd=790,790
0x3f98beb42c618d31c4f60008de15401bdc84f83f,base_cex_withdrawal,wd=759,759
0x8d33d3b7bf8b4d0296123f1784f9f25af3d48403,base_cex_withdrawal,wd=722,722
0x30913329705559c9426db411bbda9fe1e8a85773,base_cex_withdrawal,wd=722,722
0x55c928612eb31f4bf382b91fababf89b717ebacb,base_cex_withdrawal,wd=707,707
0x3624841e201415c5109c661f0143bdba08211430,base_cex_withdrawal,wd=703,703
0xf5b7b5e95c331d82688236df9c262370bcded65e,base_cex_withdrawal,wd=685,685
0xf2b217b46a7416f898368d8df50feb99eacefc4c,base_cex_withdrawal,wd=682,682
0x11a7a6ab8417da27a06db9b31655781969375e5f,base_cex_withdrawal,wd=668,668
0x4200000000000000000000000000000000000006,base_cex_withdrawal,wd=658,658
0xa9cca319b8d6f2590c4addcb4615f3a14229fc57,base_cex_withdrawal,wd=657,657
0x8adbcc56f0c1e05808dd73d1709d84d23145bec9,base_cex_withdrawal,wd=612,612
0x655f4f2cd57e7104d001f5f2ae6dd5f821fb4c5d,base_cex_withdrawal,wd=604,604
0x1920d79c893fd4f0082e8270efd18d8a08fddb92,base_cex_withdrawal,wd=603,603
0xee9bdd51ea3894f3a8a05bf83d31619034c711c3,base_cex_withdrawal,wd=546,546
0xc54b605b811f3aec4ade77da6c7fe8540dadd73e,base_cex_withdrawal,wd=545,545
0xd0701dc700b456443958eed0c88723c24e27e588,base_cex_withdrawal,wd=524,524
0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,base_cex_withdrawal,wd=506,506
0xf825571b828bc5caea4a5777dc972b9278093edf,base_cex_withdrawal,wd=501,501
0x34da2dab9c3e9098ad5d4bfad1a4bff2a5294332,base_cex_withdrawal,wd=498,498
0x728be0d7c9f72d4841b6b4b825f7d4d2c790b528,base_cex_withdrawal,wd=485,485
0xb8a9b93796bfa94cf7271327ad708cc762a7279e,base_cex_withdrawal,wd=483,483
0x36d106dbc7b78e5782c69e13dca324fef9cc6c23,base_cex_withdrawal,wd=477,477
0xe316e8afa91864f5720af31094f114761356b3e0,base_cex_withdrawal,wd=466,466
