# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 01:29:56
# x402 Facilitator/提交者画像（采样切片配对金额）
# kind=x402: 均单 ≤$5（微支付网关）
# kind=retail: 均单 ≥$20（零售中继，其付款方大概率不是 agent）
# 🔴 这些地址必须从 agent 样本中排除；retail 型用于装配端剔除被污染的付款方
# 窗口 42755201-50819862 | 6 切片 × 3000 块
address,source,note,n_settled,avg_usd,n_payers,kind
0x25e9775b674bd128fbd78c6fd24c3199b1d376f0,x402_facilitator,settled=6920 avg=$2.6227 payers=3569 kind=x402,6920,2.622688,3569,x402
0x8f5cb67b49555e614892b7233cfddebfb746e531,x402_facilitator,settled=4909 avg=$0.0978 payers=660 kind=x402,4909,0.097755,660,x402
0x97acce27d5069544480bde0f04d9f47d7422a016,x402_facilitator,settled=4900 avg=$0.1627 payers=675 kind=x402,4900,0.162672,675,x402
0x67b9ce703d9ce658d7c4ac3c289cea112fe662af,x402_facilitator,settled=4896 avg=$0.1571 payers=673 kind=x402,4896,0.157144,673,x402
0xa32ccda98ba7529705a059bd2d213da8de10d101,x402_facilitator,settled=4895 avg=$0.1003 payers=650 kind=x402,4895,0.100286,650,x402
0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863,x402_facilitator,settled=4892 avg=$0.1585 payers=654 kind=x402,4892,0.158514,654,x402
0x7f72a02c682e908d46a5677fe937cdb612d94a3b,x402_facilitator,settled=3055 avg=$0.0230 payers=583 kind=x402,3055,0.02296,583,x402
0x4c934c63c786157fefd990945b25ea60a0fb0205,x402_facilitator,settled=2511 avg=$0.2208 payers=172 kind=x402,2511,0.220812,172,x402
0xe74817f4cdc15844314812b2271276e64e890fae,x402_facilitator,settled=2507 avg=$0.0269 payers=167 kind=x402,2507,0.026866,167,x402
0xca5e87f82b3fa093800e6ad67d621a427d79c70d,x402_facilitator,settled=2507 avg=$0.0252 payers=147 kind=x402,2507,0.025247,147,x402
0x8cda367232d78c067116e3260da881d2da8ffa39,x402_facilitator,settled=2505 avg=$0.0381 payers=166 kind=x402,2505,0.038061,166,x402
0x64cc42b1ce598e3abcfbb64df4688521ddbf1f0a,x402_facilitator,settled=2505 avg=$0.0509 payers=174 kind=x402,2505,0.050933,174,x402
0x625d8a65134079f8faaac39a7947c73d93c6ac39,x402_facilitator,settled=2505 avg=$0.0308 payers=162 kind=x402,2505,0.030817,162,x402
0x14fda13953fc30428938e6bf950d036e77214e52,x402_facilitator,settled=2505 avg=$0.0337 payers=144 kind=x402,2505,0.03366,144,x402
0xe72f0af4cf41356d433723547f1412ca27fbb1b8,x402_facilitator,settled=2504 avg=$0.0340 payers=160 kind=x402,2504,0.03403,160,x402
0x68efafe862d89ce66dd3d7b07d5a3747a0871164,x402_facilitator,settled=2504 avg=$0.0332 payers=174 kind=x402,2504,0.033194,174,x402
0x59b7ebc67a3d627fabaf06768c818638452ae704,x402_facilitator,settled=2504 avg=$0.0383 payers=186 kind=x402,2504,0.038294,186,x402
0x2a89407a98a0732b7fd578c4e156b7166540eb5a,x402_facilitator,settled=2504 avg=$0.0216 payers=159 kind=x402,2504,0.021632,159,x402
0x42dd53906b49c202e8e934b059dc019e04634b00,x402_facilitator,settled=2504 avg=$0.0328 payers=171 kind=x402,2504,0.032797,171,x402
0xb87e1a2cc2b4643f2892768e80e41167f17c5860,x402_facilitator,settled=2503 avg=$0.0329 payers=177 kind=x402,2503,0.032853,177,x402
0x93f6601151ccb08f333ab4b1cccfb1e188c0be44,x402_facilitator,settled=2502 avg=$0.0260 payers=166 kind=x402,2502,0.026044,166,x402
0x772003a2e9c2ccc8af956870a37a66f64f8cec38,x402_facilitator,settled=2500 avg=$0.0230 payers=167 kind=x402,2500,0.023011,167,x402
0x80735b3f7808e2e229ace880dbe85e80115631ca,x402_facilitator,settled=2483 avg=$2.4613 payers=734 kind=x402,2483,2.461261,734,x402
0xc6699d2aada6c36dfea5c248dd70f9cb0235cb63,x402_facilitator,settled=1170 avg=$0.0051 payers=526 kind=x402,1170,0.005054,526,x402
0xb2bd29925cbbcea7628279c91945ca5b98bf371b,x402_facilitator,settled=1169 avg=$0.0156 payers=526 kind=x402,1169,0.015587,526,x402
0x136008978ad053942dcdbe759a0903f5d84966fa,x402_facilitator,settled=588 avg=$0.0329 payers=33 kind=x402,588,0.032946,33,x402
0x13bfc43fbcd63c4644bbb672a8d13a3b550eb9a7,x402_facilitator,settled=242 avg=$0.0014 payers=8 kind=x402,242,0.001432,8,x402
0xa9236f4950001355455a5b016a25fa27b947c9ac,x402_facilitator,settled=241 avg=$1404.0925 payers=190 kind=retail,241,1404.092455,190,retail
0xdf7d4615f7f813b2f2ea04325144607b636d5dbd,x402_facilitator,settled=215 avg=$0.0110 payers=14 kind=x402,215,0.011047,14,x402
0x402feee072d655b85e08f1751af9ddbcd249521f,x402_facilitator,settled=193 avg=$0.0315 payers=17 kind=x402,193,0.031549,17,x402
0x8581784d3e598cca3482375cff2409ac9dd8c402,x402_facilitator,settled=147 avg=$0.0599 payers=2 kind=x402,147,0.059853,2,x402
0x3210d7b21bfe1083c9dddbe17e8f947c9029a584,x402_facilitator,settled=125 avg=$28.5597 payers=8 kind=retail,125,28.55969,8,retail
0x0b44230e5a73fdd638e834deb4910e176dfc80fc,x402_facilitator,settled=93 avg=$0.0101 payers=4 kind=x402,93,0.010108,4,x402
0xd2f74a14522d40e4a1d7fbb62aa97ce99fa1a7e5,x402_facilitator,settled=80 avg=$0.7037 payers=50 kind=x402,80,0.703663,50,x402
0x6cb960c17a623575dd8db626899c0645ed30e3d5,x402_facilitator,settled=75 avg=$0.0010 payers=54 kind=x402,75,0.001,54,x402
0x0018c1015b416341ceebd5f85866d24f8886ca97,x402_facilitator,settled=73 avg=$0.0263 payers=10 kind=x402,73,0.026288,10,x402
0x00213db86d1b91172ad2bc079d1b7378b87bad8f,x402_facilitator,settled=73 avg=$0.0292 payers=10 kind=x402,73,0.029182,10,x402
0x5e3bdbd087ecbbe0a4b3f794acda04610ff2c8a5,x402_facilitator,settled=71 avg=$0.0101 payers=5 kind=x402,71,0.010141,5,x402
0x2bb201f1bb056eb738718bd7a3ad1bef24b883bb,x402_facilitator,settled=71 avg=$0.0032 payers=1 kind=x402,71,0.003197,1,x402
0xc67b555b4a9d340ed7c5d87743163c31a75f2254,x402_facilitator,settled=70 avg=$0.2345 payers=46 kind=x402,70,0.234497,46,x402
0x66c40946b0dffd04be467e18309857307ecd37cb,x402_facilitator,settled=69 avg=$0.1000 payers=1 kind=x402,69,0.1,1,x402
0xb5d25e1fa0718bf3e1bf698f96791d4e93632ec8,x402_facilitator,settled=68 avg=$0.2232 payers=39 kind=x402,68,0.223235,39,x402
0x24d4f332d8e886fc005bb4a103bad21d9ebc2b7f,x402_facilitator,settled=68 avg=$0.2029 payers=34 kind=x402,68,0.202868,34,x402
0xaa0df01e4d11decf2ad2c459c81d3a495e4f1925,x402_facilitator,settled=65 avg=$0.2738 payers=38 kind=x402,65,0.27378,38,x402
0xfcfd8bf68599707c59ae37b3d8cc7ca0b079cc2f,x402_facilitator,settled=60 avg=$1.6733 payers=1 kind=x402,60,1.673333,1,x402
0x46616a055e7e0e059307a313a9d345e050a493fd,x402_facilitator,settled=54 avg=$747.4909 payers=52 kind=retail,54,747.490906,52,retail
0x37dfb4033d5dd98fd335f24d0d42e8fe68d587d6,x402_facilitator,settled=52 avg=$0.3112 payers=4 kind=x402,52,0.311182,4,x402
0x179761d9eed0f0d1599330cc94b0926e68ae87f1,x402_facilitator,settled=43 avg=$1.5814 payers=38 kind=x402,43,1.581395,38,x402
0x2772f7f74ac0aca38c6238aa5ece72b27beb8c17,x402_facilitator,settled=42 avg=$0.1709 payers=12 kind=x402,42,0.170881,12,x402
0x7c766f5fd9ab3dc09acad5ecfacc99c4781efe29,x402_facilitator,settled=40 avg=$0.0038 payers=2 kind=x402,40,0.003825,2,x402
0x40293fe5d304f16962c98ab8b87978f0861ce306,x402_facilitator,settled=27 avg=$366.5603 payers=25 kind=retail,27,366.560269,25,retail
0xca237faa89e6f8f54086e6efb85d627f75c35c43,x402_facilitator,settled=24 avg=$0.1258 payers=1 kind=x402,24,0.125833,1,x402
0xe7e01bbd9ab48491e34b52d37cfcf1c362735bb8,x402_facilitator,settled=24 avg=$0.1150 payers=1 kind=x402,24,0.115,1,x402
0xdcab6a5ddeb65de28bedd218f9be1dbf5011d02c,x402_facilitator,settled=24 avg=$0.0076 payers=1 kind=x402,24,0.007625,1,x402
0x9f0237b4e1f108bde3f76876eaff6f3abb721bcb,x402_facilitator,settled=22 avg=$2.6591 payers=13 kind=x402,22,2.659091,13,x402
0xfc77ff29178b7286a8ba703d7a70895ca74ff466,x402_facilitator,settled=21 avg=$0.0253 payers=21 kind=x402,21,0.025257,21,x402
