# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:10
# x402 付款方（agent 弱正样本，真值质量 ★★）
# ★ 全窗口 AuthorizationUsed 扫描（sweep_window main 趟）
#   去重付款方 504,668 个，其中窗口内 ≥20 次的 23,897 个（低于门槛的不写入）
# avg_usd=-1: 金额提纯改用提交者画像（fetch_x402 --profile，见 x402_facilitators.csv）
# 区块 42755201-50819862
address,source,note,n_payments,avg_usd,n_sellers,bad_share,top_submitter
0x2b4ee3387008e5ff1a9996fc8b48d2fd61389037,x402_payer,n=26921651 span=107d bad=0 submitters=20,26921651,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0x8f9ac214e8b6f2e2b0dfe7ef6597e6072da2f394,x402_payer,n=961328 span=150d bad=0 submitters=20,961328,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0xb90a408b5811d302c08c0aa2c6e6c757f87e9ae4,x402_payer,n=543206 span=128d bad=0 submitters=9,543206,-1,-1,0.0,0x7f72a02c682e908d46a5677fe937cdb612d94a3b
0xa39c469c59270f5403b4641131b89bfe2459889f,x402_payer,n=289799 span=69d bad=0 submitters=25,289799,-1,-1,0.0,0x136008978ad053942dcdbe759a0903f5d84966fa
0x0ec536c77414bb93fe79703ab676b5adad272c1b,x402_payer,n=212022 span=105d bad=0 submitters=20,212022,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x1cb8d1456efc633da6eeaa038033edcbcdc0bdff,x402_payer,n=207532 span=53d bad=0 submitters=22,207532,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x133243d447026345c2b368d7ffe435dbe3c566eb,x402_payer,n=192917 span=186d bad=47500 submitters=782,192917,-1,-1,0.2462,0x4263874f7f492ca5593558ed73cda1fcc8395fe5
0x4599161c66935fb5e2f43748f6349c776acd5438,x402_payer,n=145801 span=27d bad=0 submitters=7,145801,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x4e27a9ff7502121fdd7a0864c398c129fbc4954e,x402_payer,n=141048 span=102d bad=0 submitters=20,141048,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xcfa370b01125f985ca1be78bfda9fd790b3da8dc,x402_payer,n=124426 span=107d bad=0 submitters=20,124426,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x1b8b435ccd32a8c201068a856bfc1ea28947f2b7,x402_payer,n=120857 span=94d bad=0 submitters=20,120857,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x7e571e959cc7c75ccdd2eac24f8775ea2eaa2f09,x402_payer,n=116495 span=107d bad=0 submitters=51,116495,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
